Ã¯Â»Â¿No.,"Author, Specimen ID ",Comments,Cross-section,Test Type and Configuration,Sustained Loading (% Ultimate),Width (mm),Depth (mm),Length (mm),Test Length (mm),Side Cover to Ctr of Tension Bar (mm),Bottom Cover to Ctr of Tension Bar (mm),Top Cover to Ctr of Compression Bar (mm),Reinforcement Design,# Tensile Bars,"Diameter Tensile Bars, db,t (mm)","Tension Reinforcement Ratio, pten (%)",# Compression Bars,"Diameter Comp Bars, db,c (mm)",Longitudinal Bar Type,Tension Bar End Anchorage,Lsplice (mm),"fy Longitudinal Bars (Tensile), (MPa) ","fsu Long Bars, (MPa)","Comp Reinforcement Ratio, pcom (%)",# Stirrup Legs,Stirrup Bar Type,"Stirrup Spacing, s (mm) ","Stirrup Diameter, ds (mm)","fy,s Stirrup Bars","Stirrup Volumetric Ratio, ÃÂs",Cement Type,W/C Ratio,Max Aggregate Size (mm),Comp. Test Method,f'c (MPa),Corrosion Method,Cathode Type,"Corrosion Zone Length, Lc (mm)","Corrosion Current Density, Icorr (ÃÂ¼A/cm2)","Duration, (days)",Solution Concetration (% NaCl),Immersion Depth (mm),Wet/Dry Cyclic Ratio (days),"Mass Loss (Tensile bars), ÃÂ·m (%)","Average Sample Length, (mm)","Corrosion Penetration Depth, Xaver (mm)","Shear Span, x (mm)",Py (kN),Pmax (kN),"Mmax,exp (kNm)","Residual Capacity, R (%)",MACI (kNm),"Mmax,exp/ MACI (%)",ÃÂy (mm),ÃÂult (mm),"Elastic Stiffness, k (kN/mm)","Displacement Ductility, ÃÂ¼ÃÂ",Failure Mode,Extra Notes
590,"Ye et al. (2018), BO-SL-30-10",Artificial climate method - regulated temperature and RH (no NaCl spray). Assumed 4 years exposure.,R,SS_FPB_MONO_SUST,30,100,160,1400,1200,27,27,25,UT_C,2,12,1.414,2,8,D,S,0,311.38,453.06,0.628,2,P,400,6,235,0.141,OPC,0.53,20,Cube,45.9,EI,N/A,1400,4.6,1461,3.5,160,N/A,6.98,110,0.209,400,50.31,54.74,10.95,89.18,10.49,104.42,2.78,16.66,18.1,5.99,Flexural-bending (ductile),Cube compressive strength averaged over all specimens. Environmental current density calculated using Yu et al. (2015) model - duration assumed from Fu et al. (2017).
591,"Ye et al. (2018), BO-SL-60-03",Artificial climate method - regulated temperature and RH (no NaCl spray). Assumed 4 years exposure.,R,SS_FPB_MONO_SUST,60,100,160,1400,1200,27,27,25,UT_C,2,12,1.414,2,8,D,S,0,324.44,473.49,0.628,2,P,400,6,235,0.141,OPC,0.53,20,Cube,45.9,EI,N/A,1400,2,1461,3.5,160,N/A,3.12,110,0.094,400,52.36,58.25,11.65,94.9,10.49,111.11,3.7,16.5,14.15,4.46,Flexural-bending (ductile),Cube compressive strength averaged over all specimens. Environmental current density calculated using Yu et al. (2015) model - duration assumed from Fu et al. (2017).
592,"Ye et al. (2018), BO-SL-60-05",Artificial climate method - regulated temperature and RH (no NaCl spray). Assumed 4 years exposure.,R,SS_FPB_MONO_SUST,60,100,160,1400,1200,27,27,25,UT_C,2,12,1.414,2,8,D,S,0,322.75,470.84,0.628,2,P,400,6,235,0.141,OPC,0.53,20,Cube,45.9,EI,N/A,1400,2.4,1461,3.5,160,N/A,3.62,110,0.109,400,50.21,55.8,11.16,90.91,10.49,106.44,3.46,16.26,14.51,4.7,Flexural-bending (ductile),Cube compressive strength averaged over all specimens. Environmental current density calculated using Yu et al. (2015) model - duration assumed from Fu et al. (2017).
593,"Ye et al. (2018), BO-SL-60-08",Artificial climate method - regulated temperature and RH (no NaCl spray). Assumed 4 years exposure.,R,SS_FPB_MONO_SUST,60,100,160,1400,1200,27,27,25,UT_C,2,12,1.414,2,8,D,S,0,317.98,463.38,0.628,2,P,400,6,235,0.141,OPC,0.53,20,Cube,45.9,EI,N/A,1400,3.3,1461,3.5,160,N/A,5.03,110,0.151,400,46.12,51.49,10.3,83.89,10.49,98.22,3,15.5,15.37,5.17,Flexural-bending (ductile),Cube compressive strength averaged over all specimens. Environmental current density calculated using Yu et al. (2015) model - duration assumed from Fu et al. (2017).
594,"Ye et al. (2018), BO-SL-60-10",Artificial climate method - regulated temperature and RH (no NaCl spray). Assumed 4 years exposure.,R,SS_FPB_MONO_SUST,60,100,160,1400,1200,27,27,25,UT_C,2,12,1.414,2,8,D,S,0,310.84,452.22,0.628,2,P,400,6,235,0.141,OPC,0.53,20,Cube,45.9,EI,N/A,1400,1.2,1461,3.5,160,N/A,7.14,110,0.214,400,40.48,47.52,9.5,77.42,10.49,90.64,2.55,13.54,15.87,5.31,Flexural-bending (ductile),Cube compressive strength averaged over all specimens. Environmental current density calculated using Yu et al. (2015) model - duration assumed from Fu et al. (2017).
595,"Ye et al. (2018), BC-SL-00-03",IC technique.,R,SS_FPB_MONO,0,100,160,1400,1200,27,27,25,UT_C,2,12,1.414,2,8,D,S,0,311.03,459.35,0.628,2,P,400,6,235,0.141,OPC,0.53,20,Cube,45.9,IC,External stainless steel bar,1400,190,20,3.5,160,N/A,3.91,110,0.117,400,52.55,59.69,11.94,97.25,10.49,113.86,4.95,20.24,10.62,4.09,Flexural-bending (ductile),"Cube compressive strength averaged over all specimens, corrosion duration and current density not reported."
596,"Ye et al. (2018), BC-SL-00-05",IC technique.,R,SS_FPB_MONO,0,100,160,1400,1200,27,27,25,UT_C,2,12,1.414,2,8,D,S,0,291.04,433.79,0.628,2,P,400,6,235,0.141,OPC,0.53,20,Cube,45.9,IC,External stainless steel bar,1400,190,35,3.5,160,N/A,7.17,110,0.215,400,46.53,58.98,11.8,96.09,10.49,112.5,3.21,16.98,14.5,5.29,Flexural-bending (ductile),"Cube compressive strength averaged over all specimens, corrosion duration and current density not reported."
597,"Ye et al. (2018), BC-SL-30-03",IC technique.,R,SS_FPB_MONO_SUST,30,100,160,1400,1200,27,27,25,UT_C,2,12,1.414,2,8,D,S,0,316.49,466.32,0.628,2,P,400,6,235,0.141,OPC,0.53,20,Cube,45.9,IC,External stainless steel bar,1400,190,20,3.5,160,N/A,3.02,110,0.091,400,52.14,59.29,11.86,96.59,10.49,113.09,5.31,22.53,9.82,4.24,Flexural-bending (ductile),"Cube compressive strength averaged over all specimens, corrosion duration and current density not reported."
598,"Ye et al. (2018), BC-SL-30-05",IC technique.,R,SS_FPB_MONO_SUST,30,100,160,1400,1200,27,27,25,UT_C,2,12,1.414,2,8,D,S,0,294.17,437.79,0.628,2,P,400,6,235,0.141,OPC,0.53,20,Cube,45.9,IC,External stainless steel bar,1400,190,35,3.5,160,N/A,6.66,110,0.2,400,50.82,57.04,11.41,92.93,10.49,108.8,3.6,16.67,14.12,4.63,Flexural-bending (ductile),"Cube compressive strength averaged over all specimens, corrosion duration and current density not reported."
599,"Ye et al. (2018), BC-SL-60-03",IC technique.,R,SS_FPB_MONO_SUST,60,100,160,1400,1200,27,27,25,UT_C,2,12,1.414,2,8,D,S,0,314.16,463.34,0.628,2,P,400,6,235,0.141,OPC,0.53,20,Cube,45.9,IC,External stainless steel bar,1400,190,20,3.5,160,N/A,3.4,110,0.102,400,52.45,58.16,11.63,94.75,10.49,110.94,5.68,17.83,9.23,3.14,Flexural-bending (ductile),"Cube compressive strength averaged over all specimens, corrosion duration and current density not reported."
600,"Ye et al. (2018), BC-SL-60-05",IC technique.,R,SS_FPB_MONO_SUST,60,100,160,1400,1200,27,27,25,UT_C,2,12,1.414,2,8,D,S,0,291.04,433.79,0.628,2,P,400,6,235,0.141,OPC,0.53,20,Cube,45.9,IC,External stainless steel bar,1400,190,35,3.5,160,N/A,7.17,110,0.215,400,46.53,51.73,10.35,84.28,10.49,98.67,3.82,13.98,12.18,3.66,Flexural-bending (ductile),"Cube compressive strength averaged over all specimens, corrosion duration and current density not reported."
601,"Zhou et al. (2018), B1",Control.,R,SS_FPB_MONO,0,100,200,1850,1600,32,32,29,UT_C,2,14,1.539,2,8,D,H-90,0,335,,0.503,2,P,100,8,,1.005,OPC,0.38,22,Cylinder,20.1,C,Control,0,0,0,0,0,N/A,0,0,0,620,,48.7,15.1,100,14.85,101.68,,,,,Flexural-bending (ductile),Simply supported lengths assumed from drawing. No failure modes reported - assumed to be ductile.
602,"Zhou et al. (2018), B2",,R,SS_FPB_MONO,0,100,200,1850,1600,32,32,29,UT_C,2,14,1.539,2,8,D,H-90,0,321.73,,0.503,2,P,100,8,,1.005,OPC,0.38,22,Cylinder,20.1,IC,External carbon rod,500,2400,0.5,5,200,N/A,2.17,500,0.076,620,,42.6,13.21,87.47,14.85,88.95,,,,,Flexural-bending (ductile),Simply supported lengths assumed from drawing. No failure modes reported - assumed to be ductile. Current density estimated based on reported current and corrosion length. Mass loss (%) estimated based on reported change in mass (g) and theoretical original mass fora 500 mm corrosion length.
603,"Zhou et al. (2018), B3",,R,SS_FPB_MONO,0,100,200,1850,1600,32,32,29,UT_C,2,14,1.539,2,8,D,H-90,0,308.35,,0.503,2,P,100,8,,1.005,OPC,0.38,22,Cylinder,20.1,IC,External carbon rod,500,2400,1,5,200,N/A,4.35,500,0.152,620,,40,12.4,82.14,14.85,83.52,,,,,Flexural-bending (ductile),Simply supported lengths assumed from drawing. No failure modes reported - assumed to be ductile. Current density estimated based on reported current and corrosion length. Mass loss (%) estimated based on reported change in mass (g) and theoretical original mass fora 500 mm corrosion length.
604,"Zhou et al. (2018), B4",,R,SS_FPB_MONO,0,100,200,1850,1600,32,32,29,UT_C,2,14,1.539,2,8,D,H-90,0,295.08,,0.503,2,P,100,8,,1.005,OPC,0.38,22,Cylinder,20.1,IC,External carbon rod,500,2400,1.5,5,200,N/A,6.51,500,0.228,620,,39.4,12.21,80.9,14.85,82.26,,,,,Flexural-bending (ductile),Simply supported lengths assumed from drawing. No failure modes reported - assumed to be ductile. Current density estimated based on reported current and corrosion length. Mass loss (%) estimated based on reported change in mass (g) and theoretical original mass fora 500 mm corrosion length.
605,"Zhou et al. (2018), B5",,R,SS_FPB_MONO,0,100,200,1850,1600,32,32,29,UT_C,2,14,1.539,2,8,D,H-90,0,281.8,,0.503,2,P,100,8,,1.005,OPC,0.38,22,Cylinder,20.1,IC,External carbon rod,500,2400,2,5,200,N/A,8.68,500,0.304,620,,38.4,11.9,78.85,14.85,80.18,,,,,Flexural-bending (ductile),Simply supported lengths assumed from drawing. No failure modes reported - assumed to be ductile. Current density estimated based on reported current and corrosion length. Mass loss (%) estimated based on reported change in mass (g) and theoretical original mass fora 500 mm corrosion length.
606,"Zhou et al. (2018), B6",,R,SS_FPB_MONO,0,100,200,1850,1600,32,32,29,UT_C,2,14,1.539,2,8,D,H-90,0,255.15,,0.503,2,P,100,8,,1.005,OPC,0.38,22,Cylinder,20.1,IC,External carbon rod,500,2400,3,5,200,N/A,13.02,500,0.456,620,,35.8,11.1,73.51,14.85,74.75,,,,,Flexural-bending (ductile),Simply supported lengths assumed from drawing. No failure modes reported - assumed to be ductile. Current density estimated based on reported current and corrosion length. Mass loss (%) estimated based on reported change in mass (g) and theoretical original mass fora 500 mm corrosion length.
607,"Zhou et al. (2018), B7",,R,SS_FPB_MONO,0,100,200,1850,1600,32,32,29,UT_C,2,14,1.539,2,8,D,H-90,0,236.81,,0.503,2,P,100,8,,1.005,OPC,0.38,22,Cylinder,20.1,IC,External carbon rod,500,2400,4,5,200,N/A,16.02,500,0.561,620,,32.3,10.01,66.32,14.85,67.44,,,,,Flexural-bending (ductile),Simply supported lengths assumed from drawing. No failure modes reported - assumed to be ductile. Current density estimated based on reported current and corrosion length. Mass loss (%) estimated based on reported change in mass (g) and theoretical original mass fora 500 mm corrosion length.
608,"Zhou et al. (2018), B8",,R,SS_FPB_MONO,0,100,200,1850,1600,32,32,29,UT_C,2,14,1.539,2,8,D,H-90,0,212.19,,0.503,2,P,100,8,,1.005,OPC,0.38,22,Cylinder,20.1,IC,External carbon rod,500,2400,5,5,200,N/A,20.03,500,0.701,620,,27.7,8.59,56.88,14.85,57.84,,,,,Flexural-bending (ductile),Simply supported lengths assumed from drawing. No failure modes reported - assumed to be ductile. Current density estimated based on reported current and corrosion length. Mass loss (%) estimated based on reported change in mass (g) and theoretical original mass fora 500 mm corrosion length.
609,"Zhou et al. (2018), B9",,R,SS_FPB_MONO,0,100,200,1850,1600,32,32,29,UT_C,2,14,1.539,2,8,D,H-90,0,175.4,,0.503,2,P,100,8,,1.005,OPC,0.38,22,Cylinder,20.1,IC,External carbon rod,500,2400,6.5,5,200,N/A,26.03,500,0.911,620,,24.5,7.6,50.31,14.85,51.15,,,,,Flexural-bending (brittle),Simply supported lengths assumed from drawing. No failure modes reported - assumed to be brittle from capacity loss. Current density estimated based on reported current and corrosion length. Mass loss (%) estimated based on reported change in mass (g) and theoretical original mass fora 500 mm corrosion length.
610,"Zhou et al. (2018), B10",,R,SS_FPB_MONO,0,100,200,1850,1600,32,32,29,T_C,2,14,1.539,2,8,D,H-90,0,176.6,,0.503,2,P,100,8,,1.005,OPC,0.38,22,Cylinder,20.1,IC,External carbon rod,500,2400,21,5,200,N/A,34.05,500,1.192,620,,23.2,7.19,47.64,14.85,48.44,,,,,Flexural-bending (brittle),Simply supported lengths assumed from drawing. No failure modes reported - assumed to be brittle from capacity loss. Current density estimated based on reported current and corrosion length. Mass loss (%) estimated based on reported change in mass (g) and theoretical original mass fora 500 mm corrosion length.
611,"Hou et al. (2019), RCU60-0-0",Control.,R,SS_FPB_MONO,0,120,250,2150,1900,40,40,37,T_C,2,14,1.026,2,8,D,S,0,450,587,0.335,2,P,500,8,450,0.168,OPC/UHTCC,0.5,25,Cube,35.7,C,Control,0,0,0,0,0,N/A,0,0,0,750,85.64,91.47,34.3,100,26.46,129.66,7.32,38.22,11.7,5.22,Flexural-bending (ductile),"Although beams have two concrete materials, corrosion is induced post ""repair"" so results are usable. Compressive strength of normal concrete is 35.1 MPa and 36.2 MPa for the UHTCC so average member strength taken as 35.7 MPa."
612,"Hou et al. (2019), RCU60-0.35-6.7",Beam constructed using 60 mm RC/UHTCC at base - composite material.,R,SS_FPB_MONO_SUST,33,120,250,2150,1900,40,40,37,T_C,2,14,1.026,2,8,D,S,0,394.66,523.89,0.335,2,P,500,8,450,0.168,OPC/UHTCC,0.5,25,Cube,35.7,IC,,450,200,31,3.5,60,N/A,6.72,450,0.235,750,75.85,91.71,34.39,100.26,26.46,130,6.86,46.46,11.06,6.77,Flexural-bending (ductile),"Although beams have two concrete materials, corrosion is induced post ""repair"" so results are usable. Compressive strength of normal concrete is 35.1 MPa and 36.2 MPa for the UHTCC so average member strength taken as 35.7 MPa. Cathode type not reported."
613,"Hou et al. (2019), RCU60-0.35-11.0",Beam constructed using 60 mm RC/UHTCC at base - composite material.,R,SS_FPB_MONO_SUST,33,120,250,2150,1900,40,40,37,T_C,2,14,1.026,2,8,D,S,0,359.17,483.41,0.335,2,P,500,8,450,0.168,OPC/UHTCC,0.5,25,Cube,35.7,IC,,450,200,62,3.5,60,1:2,11.03,450,0.386,750,63.75,78.85,29.57,86.2,26.46,111.77,5.07,19.86,12.57,3.92,Flexural-bending (brittle),"Although beams have two concrete materials, corrosion is induced post ""repair"" so results are usable. Compressive strength of normal concrete is 35.1 MPa and 36.2 MPa for the UHTCC so average member strength taken as 35.7 MPa. Cathode type not reported."
614,"Hou et al. (2019), RCU60-0.35-13.3",Beam constructed using 60 mm RC/UHTCC at base - composite material.,R,SS_FPB_MONO_SUST,33,120,250,2150,1900,40,40,37,T_C,2,14,1.026,2,8,D,S,0,340.47,462.09,0.335,2,P,500,8,450,0.168,OPC/UHTCC,0.5,25,Cube,35.7,IC,,450,200,93,3.5,60,1:2,13.3,450,0.466,750,56.45,64.35,24.13,70.35,26.46,91.22,4.67,11.19,12.09,2.4,Flexural-bending (brittle),"Although beams have two concrete materials, corrosion is induced post ""repair"" so results are usable. Compressive strength of normal concrete is 35.1 MPa and 36.2 MPa for the UHTCC so average member strength taken as 35.7 MPa. Cathode type not reported."
615,"Hou et al. (2019), RCU80-0-0",Control.,R,SS_FPB_MONO,0,120,250,2150,1900,40,40,37,T_C,2,14,1.026,2,8,D,S,0,450,587,0.335,2,P,500,8,450,0.168,OPC/UHTCC,0.5,25,Cube,35.7,C,Control,0,0,0,0,0,1:2,0,0,0,750,87.37,97.38,36.52,100,26.46,138.04,7.53,59.18,11.6,7.86,Flexural-bending (ductile),"Although beams have two concrete materials, corrosion is induced post ""repair"" so results are usable. Compressive strength of normal concrete is 35.1 MPa and 36.2 MPa for the UHTCC so average member strength taken as 35.7 MPa. Cathode type not reported."
616,"Hou et al. (2019), RCU80-0.35-8.6",Beam constructed using 80 mm RC/UHTCC at base - composite material.,R,SS_FPB_MONO_SUST,33,120,250,2150,1900,40,40,37,T_C,2,14,1.026,2,8,D,S,0,379.26,506.32,0.335,2,P,500,8,450,0.168,OPC/UHTCC,0.5,25,Cube,35.7,IC,,450,200,62,3.5,60,N/A,8.59,450,0.301,750,68.37,77.31,28.99,79.39,26.46,109.59,6.51,21.67,10.5,3.33,Flexural-bending (brittle),"Although beams have two concrete materials, corrosion is induced post ""repair"" so results are usable. Compressive strength of normal concrete is 35.1 MPa and 36.2 MPa for the UHTCC so average member strength taken as 35.7 MPa. Cathode type not reported."
617,"Hou et al. (2019), RCU80-0-6.5",Beam constructed using 80 mm RC/UHTCC at base - composite material.,R,SS_FPB_MONO,0,120,250,2150,1900,40,40,37,T_C,2,14,1.026,2,8,D,S,0,396.31,525.76,0.335,2,P,500,8,450,0.168,OPC/UHTCC,0.5,25,Cube,35.7,IC,,450,200,31,3.5,60,1:2,6.52,450,0.228,750,74.91,87.8,32.93,90.16,26.46,124.46,7.71,22.68,9.72,2.94,Flexural-bending (ductile),"Although beams have two concrete materials, corrosion is induced post ""repair"" so results are usable. Compressive strength of normal concrete is 35.1 MPa and 36.2 MPa for the UHTCC so average member strength taken as 35.7 MPa. Cathode type not reported."
618,"Hou et al. (2019), RCU80-0.1-10.6",Beam constructed using 80 mm RC/UHTCC at base - composite material.,R,SS_FPB_MONO_SUST,9,120,250,2150,1900,40,40,37,T_C,2,14,1.026,2,8,D,S,0,363.12,487.91,0.335,2,P,500,8,450,0.168,OPC/UHTCC,0.5,25,Cube,35.7,IC,,450,200,62,3.5,60,1:2,10.55,450,0.369,750,66.52,83.68,31.38,85.93,26.46,118.62,6.11,41.52,10.89,6.8,Flexural-bending (ductile),"Although beams have two concrete materials, corrosion is induced post ""repair"" so results are usable. Compressive strength of normal concrete is 35.1 MPa and 36.2 MPa for the UHTCC so average member strength taken as 35.7 MPa. Cathode type not reported."
619,"Hou et al. (2019), RCU80-0.23-10.3",Beam constructed using 80 mm RC/UHTCC at base - composite material.,R,SS_FPB_MONO_SUST,22,120,250,2150,1900,40,40,37,T_C,2,14,1.026,2,8,D,S,0,365.01,490.07,0.335,2,P,500,8,450,0.168,OPC/UHTCC,0.5,25,Cube,35.7,IC,,450,200,62,3.5,60,1:2,10.32,450,0.361,750,73.11,90.55,33.96,92.99,26.46,128.35,6.64,31.82,11.01,4.79,Flexural-bending (ductile),"Although beams have two concrete materials, corrosion is induced post ""repair"" so results are usable. Compressive strength of normal concrete is 35.1 MPa and 36.2 MPa for the UHTCC so average member strength taken as 35.7 MPa. Cathode type not reported."
620,"Hou et al. (2019), RCU80-0.35-11.6",Beam constructed using 80 mm RC/UHTCC at base - composite material.,R,SS_FPB_MONO_SUST,33,120,250,2150,1900,40,40,37,T_C,2,14,1.026,2,8,D,S,0,354.64,478.24,0.335,2,P,500,8,450,0.168,OPC/UHTCC,0.5,25,Cube,35.7,IC,,450,200,62,3.5,60,1:2,11.58,450,0.405,750,67.95,83.91,31.47,86.17,26.46,118.94,6.63,34.49,10.25,5.2,Flexural-bending (brittle),"Although beams have two concrete materials, corrosion is induced post ""repair"" so results are usable. Compressive strength of normal concrete is 35.1 MPa and 36.2 MPa for the UHTCC so average member strength taken as 35.7 MPa. Cathode type not reported."
621,"Hou et al. (2019), RCU80-0.35-16.3",Beam constructed using 80 mm RC/UHTCC at base - composite material.,R,SS_FPB_MONO_SUST,33,120,250,2150,1900,40,40,37,T_C,2,14,1.026,2,8,D,S,0,315.6,433.72,0.335,2,P,500,8,450,0.168,OPC/UHTCC,0.5,25,Cube,35.7,IC,,450,200,93,3.5,60,1:2,16.32,450,0.571,750,49.35,58.05,21.77,59.61,26.46,82.29,4.66,10.38,10.59,2.23,Flexural-bending (brittle),"Although beams have two concrete materials, corrosion is induced post ""repair"" so results are usable. Compressive strength of normal concrete is 35.1 MPa and 36.2 MPa for the UHTCC so average member strength taken as 35.7 MPa. Cathode type not reported."
622,"Hou et al. (2019), RCU80-0.45-11.6",Beam constructed using 80 mm RC/UHTCC at base - composite material.,R,SS_FPB_MONO_SUST,42,120,250,2150,1900,40,40,37,T_C,2,14,1.026,2,8,D,S,0,354.47,478.05,0.335,2,P,500,8,450,0.168,OPC/UHTCC,0.5,25,Cube,35.7,IC,,450,200,62,3.5,60,1:2,11.6,450,0.406,750,53.95,63.21,23.7,64.91,26.46,89.6,5.1,11.82,10.58,2.32,Flexural-bending (brittle),"Although beams have two concrete materials, corrosion is induced post ""repair"" so results are usable. Compressive strength of normal concrete is 35.1 MPa and 36.2 MPa for the UHTCC so average member strength taken as 35.7 MPa. Cathode type not reported."
623,"Hu et al. 2019), RB-0",Control,R,SS_FPB_MONO,0,100,200,1500,1200,26,26,24,T_C,2,12,1.131,2,8,D,H-90,0,555,656,0.503,2,P,100,8,,1.005,OPC,0.56,20,Cube,45.8,C,Control,0,0,0,0,0,1:2,0,0,0,400,87.91,100.08,20.02,100,19.94,100.38,6.4,17.56,13.74,2.74,Flexural-bending (ductile),Average concrete compressive strength of all beams at time of testing reported only. No stirrup data reported.
624,"Hu et al. 2019), RB-5",Intersections between stirrups and rebar coated with epoxy antirust paint layer.,R,SS_FPB_MONO,0,100,200,1500,1200,26,26,24,T_C,2,12,1.131,2,8,D,H-90,0,517.42,617.16,0.503,2,P,100,8,,1.005,OPC,0.56,20,Cube,45.8,IC,,1380,400,11.7,5,100,N/A,3.7,400,0.111,400,85.65,96.49,19.3,96.41,19.94,96.78,6.31,15.08,13.57,2.39,Flexural-bending (ductile),Average concrete compressive strength of all beams at time of testing reported only. Full depth immersion assumed. No stirrup data reported.
625,"Hu et al. 2019), RB-10",Intersections between stirrups and rebar coated with epoxy antirust paint layer.,R,SS_FPB_MONO,0,100,200,1500,1200,26,26,24,T_C,2,12,1.131,2,8,D,H-90,0,440.72,570.98,0.503,2,P,100,8,,1.005,OPC,0.56,20,Cube,45.8,IC,,1380,400,23.3,5,100,N/A,8.1,400,0.243,400,78.62,92.09,18.42,92.02,19.94,92.37,5.45,16.69,14.43,3.06,Flexural-bending (ductile),Average concrete compressive strength of all beams at time of testing reported only. Full depth immersion assumed. No stirrup data reported.
626,"Hu et al. 2019), RB-15",Intersections between stirrups and rebar coated with epoxy antirust paint layer.,R,SS_FPB_MONO,0,100,200,1500,1200,26,26,24,T_C,2,12,1.131,2,8,D,H-90,0,334.26,517.45,0.503,2,P,100,8,,1.005,OPC,0.56,20,Cube,45.8,IC,,1380,400,35,5,100,N/A,13.2,400,0.396,400,70.47,86.91,17.38,86.84,19.94,87.17,4.71,15.52,14.96,3.3,Flexural-bending (ductile),Average concrete compressive strength of all beams at time of testing reported only. Full depth immersion assumed. No stirrup data reported.
627,"Jung et al. (2019), FB-C0",Control.,R,SS_FPB_MONO,0,150,250,2200,1800,30,30,30,T_C,2,13,0.708,2,10,D,H-180,0,460,495,0.419,2,D,100,10,460,1.047,OPC,0.57,,Cylinder,24.4,C,Control,0,0,0,0,0,N/A,0,0,0,600,65,81.6,24.48,100,24.59,99.55,7,116.7,9.29,16.67,Flexural-bending (ductile),
628,"Jung et al. (2019), FB-C1",Does not report any corrosion details.,R,SS_FPB_MONO,0,150,250,2200,1800,30,30,30,T_C,2,13,0.708,2,10,D,H_180,0,,,0.419,2,D,100,10,,1.047,OPC,0.57,,Cylinder,24.4,IC,External stainless steel plate,2200,,,5,230,N/A,,,0,600,66.5,78.9,23.67,96.69,24.59,96.26,6.68,100.9,9.96,15.1,Flexural-bending (ductile),
629,"Jung et al. (2019), FB-C2",Does not report any corrosion details.,R,SS_FPB_MONO,0,150,250,2200,1800,30,30,30,T_C,2,13,0.708,2,10,D,H-180,0,,,0.419,2,D,100,10,,1.047,OPC,0.57,,Cylinder,24.4,IC,External stainless steel plate,2200,,,5,230,N/A,,,0,600,66.6,77.4,23.22,94.85,24.59,94.43,6.54,11.9,10.18,1.82,Flexural-bending (ductile),
630,"Jung et al. (2019), FB-C3",Does not report any corrosion details.,R,SS_FPB_MONO,0,150,250,2200,1800,30,30,30,T_C,2,13,0.708,2,10,D,H-180,0,,,0.419,2,D,100,10,,1.047,OPC,0.57,,Cylinder,24.4,IC,External stainless steel plate,2200,,,5,230,N/A,,,0,600,62.6,80.7,24.21,98.9,24.59,98.45,6.48,101.4,9.66,15.65,Flexural-bending (ductile),
631,"Jung et al. (2019), FB-C4",Does not report any corrosion details.,R,SS_FPB_MONO,0,150,250,2200,1800,30,30,30,T_C,2,13,0.708,2,10,D,H_180,0,,,0.419,2,D,100,10,,1.047,OPC,0.57,,Cylinder,24.4,IC,External stainless steel plate,2200,,,5,230,N/A,,,0,600,63.4,78.4,23.52,96.08,24.59,95.65,6.98,95.6,9.08,13.7,Flexural-bending (ductile),
632,"Jung et al. (2019), FB-C5",Does not report any corrosion details.,R,SS_FPB_MONO,0,150,250,2200,1800,30,30,30,T_C,2,13,0.708,2,10,D,H-180,0,,,0.419,2,D,100,10,,1.047,OPC,0.57,,Cylinder,24.4,IC,External stainless steel plate,2200,,,5,230,N/A,,,0,600,65,72,21.6,88.24,24.59,87.84,6.21,98.7,10.47,15.89,Flexural-bending (ductile),
633,"Jung et al. (2019), FB-C6",Does not report any corrosion details.,R,SS_FPB_MONO,0,150,250,2200,1800,30,30,30,T_C,2,13,0.708,2,10,D,H-180,0,,,0.419,2,D,100,10,,1.047,OPC,0.57,,Cylinder,24.4,IC,External stainless steel plate,2200,,,5,230,N/A,,,0,600,63.2,74.3,22.29,91.05,24.59,90.64,6.75,97.4,9.36,14.43,Flexural-bending (ductile),
634,"Jung et al. (2019), FB-C7",Does not report any corrosion details.,R,SS_FPB_MONO,0,150,250,2200,1800,30,30,30,T_C,2,13,0.708,2,10,D,H-180,0,,,0.419,2,D,100,10,,1.047,OPC,0.57,,Cylinder,24.4,IC,External stainless steel plate,2200,,,5,230,N/A,,,0,600,66,77.2,23.16,94.61,24.59,94.18,6.55,76.9,10.08,11.74,Flexural-bending (ductile),
635,"Njeem et al. (2019), BF0",Control.,R,SS_FPB_MONO,0,125,250,2440,2232,31.8,51.8,51.8,T_C,2,11,0.608,2,11,D,H-90,0,505.6,660,0.608,2,W,100,6.3,530,0.499,OPC,0.49,,Cylinder,35,C,Control,0,0,0,0,0,N/A,0,0,0,741,53.4,60.5,22.42,100,18.42,121.71,10.4,120.1,5.13,11.55,Flexural-bending (ductile),
636,"Njeem et al. (2019), BMC30",Only tensile reinforcement corroded.,R,SS_FPB_MONO,0,125,250,2440,2232,31.8,51.8,51.8,T_C,2,11,0.608,2,11,D,H-90,0,284.15,379.5,0.608,2,W,100,6.3,530,0.499,OPC,0.49,,Cylinder,47,IC,External stainless steel plates,750,,,3,110,N/A,30,375,0.825,741,48.6,52.1,19.3,86.12,19.26,100.22,11.2,71.8,4.34,6.41,Flexural-bending (brittle),No corrosion process/testing information given so mass loss recorded is based on reported target. Corrosion current density and duration not reported..
